system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_0000000000000000002c_0,2019-05-01,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.1084174552632,13.59128566990733]}"
0_0000000000000000002d_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.31592371161295,11.07735034729885]}"
0_0000000000000000002e_0,2019-05-01,0,1,0,1,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.02900638414704,12.667548063247226]}"
0_0000000000000000002f_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.97465830945781,12.794839339006963]}"
0_00000000000000000030_0,2019-05-01,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.2584315334293,11.170236147676809]}"
0_00000000000000000031_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.13276179946284,12.696563646924286]}"
0_00000000000000000032_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.90414055965442,13.215789881145371]}"
0_00000000000000000033_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.09997329159248,12.61113386340452]}"
0_00000000000000000034_0,2019-05-01,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.98642623967977,13.625601313760695]}"
0_00000000000000000035_0,2019-05-01,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.87817924794336,13.486631939307406]}"
0_00000000000000000036_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.95929711809936,13.002440001166983]}"
0_00000000000000000037_0,2019-05-01,0,0,0,0,0,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.30640156960129,11.04420251331484]}"
0_00000000000000000038_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.14964555252243,10.925714727339473]}"
0_00000000000000000039_0,2019-05-01,0,1,0,1,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.34188502332401,11.149035906971587]}"
0_0000000000000000003a_0,2019-05-01,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.03313863445399,13.012231637763886]}"
0_0000000000000000003b_0,2019-05-01,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.84646871841394,13.228725621236691]}"
0_0000000000000000003c_0,2019-05-01,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.06493899551181,13.661084767483416]}"
0_0000000000000000003d_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.90764398926248,12.359515752322642]}"
0_0000000000000000003e_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.04652353218736,13.458873997028112]}"
0_0000000000000000003f_0,2019-05-01,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.21998363926899,11.096753957435832]}"
0_00000000000000000040_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.11057341194508,12.782891745728174]}"
0_00000000000000000041_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.13491318186287,10.970271165431802]}"
0_00000000000000000042_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.95345806875258,13.415844694918787]}"
0_00000000000000000043_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.94672070412169,12.359695415379466]}"
0_00000000000000000004_0,2019-05-01,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.96908875469626,13.261963286749113]}"
0_00000000000000000019_0,2019-05-01,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.27361306173093,11.316841202045113]}"
0_0000000000000000001c_0,2019-05-01,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.99540939252097,12.871196138157122]}"
0_0000000000000000001e_0,2019-05-01,1,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.15377780282938,10.927601189436125]}"
0_00000000000000000017_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.98346179924218,12.413324837841401]}"
1_00000000000000000046_0,2019-05-02,0,1,1,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.87287461348521,11.905956365370695]}"
1_00000000000000000047_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.8398166110296,11.897152875586325]}"
1_00000000000000000048_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.11469651368833,12.644730855030591]}"
1_00000000000000000049_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.13257298784231,12.62586623406408]}"
1_0000000000000000004a_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.18278881222459,12.879280975714197]}"
1_0000000000000000004c_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.86227906741445,12.344603718606258]}"
1_0000000000000000004d_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.72725313164759,13.306699387898266]}"
1_0000000000000000004e_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.10023363761401,12.667098905605167]}"
1_00000000000000000050_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.16428351737173,13.13018043456878]}"
1_00000000000000000051_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.98318315609323,13.194499808911738]}"
1_00000000000000000053_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.68485265023715,13.262951433561645]}"
1_00000000000000000054_0,2019-05-02,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.87063339955677,12.33553073423665]}"
1_00000000000000000055_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.84897942692763,11.967670625389706]}"
1_00000000000000000057_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.21548748856654,12.914944092493743]}"
1_00000000000000000059_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.94743935634898,12.319181396065677]}"
1_0000000000000000005b_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.33370577995667,12.90748807563555]}"
1_00000000000000000060_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.85733375906995,11.922485366598496]}"
1_00000000000000000061_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.77343111153318,11.929492225814627]}"
1_00000000000000000062_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.8731486823523,12.293040421297798]}"
1_00000000000000000063_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.62413568559437,12.329152695719403]}"
1_00000000000000000064_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.09009182346716,12.327535728207987]}"
1_00000000000000000065_0,2019-05-02,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.91698189393549,11.885025619250712]}"
1_00000000000000000068_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.23264531049323,12.848738256054133]}"
1_00000000000000000069_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.92489164271758,12.36167170900453]}"
1_0000000000000000006a_0,2019-05-02,0,1,1,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.36460782573039,12.950427546216464]}"
1_0000000000000000006e_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.13715439579133,13.060381336992693]}"
1_0000000000000000006f_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.94896191805013,11.95491454835521]}"
1_00000000000000000070_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.96881468582917,11.891044331654312]}"
1_00000000000000000071_0,2019-05-02,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.88886462554254,11.869035607193384]}"
1_00000000000000000072_0,2019-05-02,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.89327094471658,12.36544463319783]}"
1_00000000000000000073_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.94447491591139,12.316037292571258]}"
1_00000000000000000074_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.30271390265455,12.863021469071635]}"
1_00000000000000000076_0,2019-05-02,0,0,0,0,0,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.72447750283051,12.280913164962184]}"
1_00000000000000000078_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6206322559863,12.359785246907878]}"
1_00000000000000000079_0,2019-05-02,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.31592371161295,11.07735034729885]}"
1_0000000000000000007a_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.71261059251644,12.950068220102816]}"
1_0000000000000000007b_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.93952503328502,12.801756366694683]}"
1_0000000000000000007c_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.15287491326342,12.693060217316221]}"
1_0000000000000000007e_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.96854519124393,11.973599506264895]}"
1_00000000000000000081_0,2019-05-02,0,1,1,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.51984128110809,12.201502093846019]}"
1_00000000000000000082_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.87943231505928,11.938565210184235]}"
1_00000000000000000085_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.76696781576938,12.311276221565423]}"
1_00000000000000000086_0,2019-05-02,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.07696727175531,13.1431161746601]}"
1_00000000000000000087_0,2019-05-02,0,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.30640156960129,11.04420251331484]}"
1_00000000000000000088_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.68081023145861,13.28990089208523]}"
1_00000000000000000089_0,2019-05-02,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.34188502332401,11.149035906971587]}"
1_0000000000000000008a_0,2019-05-02,0,1,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.62862726201496,12.343615571793727]}"
1_0000000000000000008b_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.67083893180488,13.237439279492651]}"
1_0000000000000000008c_0,2019-05-02,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.90764398926248,12.359515752322642]}"
1_0000000000000000008d_0,2019-05-02,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.21998363926899,11.096753957435832]}"
1_0000000000000000008f_0,2019-05-02,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.10500385718355,12.256838315347782]}"
1_00000000000000000091_0,2019-05-02,0,1,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.80954796023663,12.317744091611084]}"
1_00000000000000000092_0,2019-05-02,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.94672070412169,12.359695415379466]}"
1_00000000000000000093_0,2019-05-02,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.92731251970285,11.877928928506167]}"
1_00000000000000000044_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.27926787373903,12.680932960980607]}"
1_0000000000000000004f_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.77504350476275,13.22082044673644]}"
1_00000000000000000056_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.91652816201157,13.033162383883871]}"
1_00000000000000000058_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.9971968745255,12.824663406439731]}"
1_0000000000000000005a_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.13050686268883,12.896618460697704]}"
1_0000000000000000005c_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.88284133885709,12.951864850671054]}"
1_0000000000000000005e_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.20785180865153,12.584543730994582]}"
1_0000000000000000005f_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75851450353494,13.08005444171491]}"
1_00000000000000000066_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.07813508162467,12.863380795185282]}"
1_00000000000000000067_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.24845565949373,12.699797581947116]}"
1_0000000000000000006b_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.95614386604124,13.09613428530065]}"
1_0000000000000000006c_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.98246450386594,12.96453109617714]}"
1_0000000000000000006d_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.29939013610331,12.634849386905275]}"
1_00000000000000000075_0,2019-05-02,1,1,0,0,0,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.00330541845751,12.824843069496554]}"
1_00000000000000000077_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.94266913677944,13.092091866522113]}"
1_0000000000000000007d_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.02980571933904,13.076640843635257]}"
1_0000000000000000007f_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.93368598393825,12.954020807352942]}"
1_00000000000000000080_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.02091239802625,12.921681457124638]}"
1_00000000000000000083_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.79103351682006,13.165933382876737]}"
1_00000000000000000084_0,2019-05-02,1,1,1,1,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.99701721146867,13.057327065026687]}"
1_0000000000000000008e_0,2019-05-02,1,1,1,0,1,,1,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.2851069230858,12.593976041477838]}"
1_0000000000000000004b_0,2019-05-02,1,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.72267172369857,13.250554682640796]}"
1_00000000000000000045_0,2019-05-02,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.0287368895618,12.273636811160817]}"
1_0000000000000000005d_0,2019-05-02,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.98346179924218,12.413324837841401]}"
1_00000000000000000090_0,2019-05-02,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.85077148321402,13.275977005181378]}"
2_00000000000000000096_0,2019-09-09,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.84278105146721,11.321602273050948]}"
2_00000000000000000098_0,2019-09-09,0,0,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.99612347046642,11.996596377538356]}"
