system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_1_1_00000000000000000025_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93475938799735,12.191171468078643]}"
0_1_1_00000000000000000026_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.99746179482888,12.375775258965206]}"
0_1_1_00000000000000000027_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86163652387002,12.062532719392728]}"
0_1_1_00000000000000000028_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.936645850094,12.154430372958156]}"
0_1_1_00000000000000000029_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82408694499382,12.542772070283025]}"
0_1_1_0000000000000000002a_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82812936377236,12.454647340910899]}"
0_1_1_0000000000000000002b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87070950823961,12.279565692036005]}"
0_1_1_0000000000000000002c_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78465090402096,12.362390361231824]}"
0_1_1_0000000000000000002d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92703387655392,12.163413525799351]}"
0_1_1_0000000000000000002e_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86217551304048,12.1615270637027]}"
0_1_1_0000000000000000002f_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00114488749378,12.32169667886121]}"
0_1_1_00000000000000000030_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90538447820663,12.25261623351242]}"
0_1_1_00000000000000000031_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78995096419727,12.33094932628764]}"
0_1_1_00000000000000000032_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00563646391437,12.584992888636641]}"
0_1_1_00000000000000000033_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75842009772468,12.099722972155277]}"
0_1_1_00000000000000000034_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78222545275385,12.123258832599209]}"
0_1_1_00000000000000000035_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82750054307347,12.014203357107098]}"
0_1_1_00000000000000000036_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79623917118612,12.278397882166649]}"
0_1_1_00000000000000000037_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83792100036926,12.44782014475159]}"
0_1_1_00000000000000000038_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94473068765107,12.389070325170174]}"
0_1_1_00000000000000000039_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.96781739045294,12.4914782675598]}"
0_1_1_0000000000000000003a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.80153923136241,12.320169542878208]}"
0_1_1_0000000000000000003b_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.81474446603897,12.395268700630599]}"
0_1_1_0000000000000000003c_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88121979706382,11.95913663019057]}"
0_1_1_0000000000000000003d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8111512049025,12.39625684744313]}"
