system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_00000000000000000000_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88319609068888,12.112479049189774]}"
0_00000000000000000001_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9562291232878,12.605204982529331]}"
0_00000000000000000002_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91526594633194,12.380536329971038]}"
0_00000000000000000003_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9630563194471,12.417007930506292]}"
0_00000000000000000004_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94230523638394,12.612122010217051]}"
0_00000000000000000005_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.97787852163508,12.52363795473128]}"
0_00000000000000000006_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91481678868989,12.545287353078558]}"
0_00000000000000000007_0,2018-01-04,0,0,0,0,0,,16,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88993345531978,12.645090181144239]}"
0_00000000000000000008_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.76596594611128,12.181200168424917]}"
0_00000000000000000009_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.77351179449789,12.304808351519764]}"
0_0000000000000000000a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75150307003696,12.080768519660355]}"
0_0000000000000000000b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89918610274621,11.952938254730148]}"
0_0000000000000000000c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75949807606563,12.1224503488435]}"
0_0000000000000000000d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.96170884652093,12.452671047285836]}"
0_0000000000000000000e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87232647575104,12.168084765276772]}"
0_0000000000000000000f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86019921941542,11.968479109145415]}"
0_00000000000000000010_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91149302213864,12.518966715253857]}"
0_00000000000000000011_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94994091629896,12.059208952841486]}"
0_00000000000000000012_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8464549955684,12.628201853802791]}"
0_00000000000000000013_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94113742651459,12.16107790606064]}"
0_00000000000000000014_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9202066803946,12.453569362569956]}"
0_00000000000000000015_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.0449826733588,12.54349072251032]}"
0_00000000000000000016_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83531588604531,12.474589940218353]}"
0_00000000000000000017_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8322616140793,12.241387292460924]}"
0_00000000000000000018_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92667455044027,12.59963542776779]}"
0_00000000000000000019_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02342310653994,12.480159494979894]}"
0_0000000000000000001a_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82444627110746,12.571248664789614]}"
0_0000000000000000001b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78779500751538,12.339393489958365]}"
0_0000000000000000001c_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95389350354908,12.344064729435786]}"
0_0000000000000000001d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90233020624063,12.117150288667196]}"
0_0000000000000000001e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78842382821428,12.349544452668916]}"
0_0000000000000000001f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88346558527412,12.217492105903347]}"
0_00000000000000000020_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02557906322183,12.488873153235854]}"
0_00000000000000000022_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02926215588671,12.4689305539284]}"
0_00000000000000000023_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87035018212597,12.355832659657752]}"
0_00000000000000000024_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83837015801132,12.343525740265315]}"
0_00000000000000000025_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93475938799735,12.191171468078643]}"
0_00000000000000000026_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.99746179482888,12.375775258965206]}"
0_00000000000000000027_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86163652387002,12.062532719392728]}"
0_00000000000000000028_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.936645850094,12.154430372958156]}"
0_00000000000000000029_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82408694499382,12.542772070283025]}"
0_0000000000000000002a_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82812936377236,12.454647340910899]}"
0_0000000000000000002b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87070950823961,12.279565692036005]}"
0_0000000000000000002c_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78465090402096,12.362390361231824]}"
0_0000000000000000002d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92703387655392,12.163413525799351]}"
0_0000000000000000002e_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86217551304048,12.1615270637027]}"
0_0000000000000000002f_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00114488749378,12.32169667886121]}"
0_00000000000000000030_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90538447820663,12.25261623351242]}"
0_00000000000000000031_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78995096419727,12.33094932628764]}"
0_00000000000000000032_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00563646391437,12.584992888636641]}"
0_00000000000000000033_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75842009772468,12.099722972155277]}"
0_00000000000000000034_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78222545275385,12.123258832599209]}"
0_00000000000000000035_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82750054307347,12.014203357107098]}"
0_00000000000000000036_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79623917118612,12.278397882166649]}"
0_00000000000000000037_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83792100036926,12.44782014475159]}"
0_00000000000000000038_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94473068765107,12.389070325170174]}"
0_00000000000000000039_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.96781739045294,12.4914782675598]}"
0_0000000000000000003a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.80153923136241,12.320169542878208]}"
0_0000000000000000003b_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.81474446603897,12.395268700630599]}"
0_0000000000000000003c_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88121979706382,11.95913663019057]}"
0_0000000000000000003d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8111512049025,12.39625684744313]}"
0_0000000000000000003e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95065956852626,12.465067798206686]}"
0_0000000000000000003f_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.72805704112145,12.0878652104049]}"
0_00000000000000000040_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.80522232402731,11.969377424429535]}"
0_00000000000000000041_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79219675240758,12.225846438045657]}"
0_00000000000000000042_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8480719630798,12.321876341918035]}"
0_00000000000000000043_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02486041099453,12.405689157926385]}"
0_00000000000000000044_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.7901306272541,12.20482586039726]}"
0_00000000000000000045_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9795853206749,12.33175781004335]}"
0_00000000000000000046_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91203201130912,12.219288736471585]}"
0_00000000000000000047_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95308501979338,12.587777666017413]}"
0_00000000000000000048_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.96862587420866,12.30471851999135]}"
0_00000000000000000049_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79722731799865,12.065946317472383]}"
0_0000000000000000004a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92344061541743,12.206083501795028]}"
0_0000000000000000004b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88660968876853,12.060376762710842]}"
0_0000000000000000004c_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.77503893048089,12.331578146986525]}"
0_0000000000000000004d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9524561990945,12.18317646204998]}"
0_0000000000000000004e_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.917242239957,12.585262383221878]}"
0_0000000000000000004f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83899897871021,12.256209494648898]}"
0_00000000000000000050_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78806450210062,12.32349330942945]}"
0_00000000000000000051_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84384988124445,12.33642904952077]}"
0_00000000000000000052_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84708381626727,12.405778989454797]}"
0_00000000000000000053_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9600020474811,12.371014187959371]}"
0_00000000000000000054_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9457188344636,12.440184464836575]}"
0_00000000000000000055_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88993345531978,12.56648759378378]}"
0_00000000000000000056_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84456853347174,12.30965925405401]}"
0_00000000000000000057_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79444254061788,12.10951460875218]}"
0_00000000000000000058_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94598832904883,12.293848905053505]}"
0_00000000000000000059_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93583736633829,12.304269362349292]}"
0_0000000000000000005a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93673568162241,12.066215812057619]}"
0_0000000000000000005b_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8930775588142,12.419523213301826]}"
0_0000000000000000005c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.98650234836262,12.613110157029583]}"
0_0000000000000000005d_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82714121695983,12.358976763152171]}"
0_0000000000000000005e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9344898934121,12.129816534173282]}"
0_0000000000000000005f_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84061594622162,11.924281997166734]}"
0_00000000000000000060_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00824157823831,12.383770264993869]}"
0_00000000000000000061_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84097527233527,12.437938676626276]}"
0_00000000000000000062_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86864338308615,12.068641263324741]}"
0_00000000000000000063_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.85903140954606,12.157215150338926]}"
0_00000000000000000064_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9510188946399,12.10080095049622]}"
0_00000000000000000065_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90816925558741,12.027857749425715]}"
0_00000000000000000066_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95577996564575,12.4012874130342]}"
0_00000000000000000067_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9930600499367,12.295286209508097]}"
0_00000000000000000068_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94356287778172,12.554540000504991]}"
0_00000000000000000069_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.98758032670356,12.593706546892601]}"
0_0000000000000000006a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92550674057091,12.309928748639244]}"
0_0000000000000000006b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91059470685452,12.163683020384587]}"
0_0000000000000000006c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.76318116873051,12.046363044278577]}"
0_0000000000000000006d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8961318307802,12.35026310489621]}"
0_0000000000000000006e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84384988124445,11.96776045691812]}"
0_0000000000000000006f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89056227601866,12.497227485378165]}"
0_00000000000000000070_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9945871859197,12.48878332170744]}"
0_00000000000000000071_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83172262490883,12.453928688683604]}"
0_00000000000000000072_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83037515198265,12.520314188180036]}"
0_00000000000000000073_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91778122912748,11.978989397969613]}"
0_00000000000000000074_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8480719630798,12.097926341587037]}"
0_00000000000000000075_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8345074022896,12.52642273211205]}"
0_00000000000000000076_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95200704145243,12.385836390147345]}"
0_00000000000000000077_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.04902509213734,12.569901191863433]}"
0_00000000000000000078_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83432773923278,12.297981155360455]}"
0_00000000000000000079_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93547804022464,12.187937533055814]}"
0_0000000000000000007a_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94859344337279,12.58355558418205]}"
0_0000000000000000007b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.84843128919346,12.17536111907814]}"
0_0000000000000000007c_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78995096419727,12.169432238202951]}"
0_0000000000000000007d_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93098646380405,12.287291203479432]}"
0_0000000000000000007e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.97913616303285,12.466325439604454]}"
0_0000000000000000007f_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8028867042886,12.483034103889077]}"
0_00000000000000000080_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79489169825993,11.96551466870782]}"
0_00000000000000000081_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9156252724456,12.262407870109323]}"
0_00000000000000000082_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92433893070155,12.066125980529206]}"
0_00000000000000000083_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93323225201434,12.485459555156199]}"
0_00000000000000000084_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91230150589435,12.064149686904143]}"
0_00000000000000000085_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.76120487510545,12.135026762821173]}"
0_00000000000000000086_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9570376070435,12.533070265214533]}"
0_00000000000000000087_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78689669223127,12.148142165969318]}"
0_00000000000000000088_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.85040758281852,12.149848965009147]}"
0_00000000000000000089_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.81699025424928,12.219737894113646]}"
0_0000000000000000008b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93278309437228,12.205903838738204]}"
0_0000000000000000008d_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82588357556206,12.10448404316111]}"
0_0000000000000000008e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89190974894484,12.105651853030466]}"
0_00000000000000000091_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92838134948009,11.958238314906453]}"
0_00000000000000000092_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02521973710817,12.484920565985728]}"
0_00000000000000000093_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93125595838927,12.433177605620443]}"
