system:index,CID,Date,HYDRA,H_S_RLCMST,RLCMS,Slope,WaterPlane,first,system:time_start,.geo
1_1_1_1_1_1_1_1_1_1_0000000000000000008c,0,1568012400000,1,1414.0,14.0,4,1,0.8750184774398804,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.07537630046886,11.971319975361052]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000007,0,1568012400000,0,414.0,14.0,4,1,0.8748510479927063,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.9688094565607,11.89103323705226]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000094,0,1568185200000,0,110.0,10.0,1,0,0.10820823162794113,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.88506251205855,11.039727915588461]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000203,0,1568185200000,0,110.0,10.0,1,0,0.10717444866895676,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.85603978970731,10.903110512848432]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001fc,0,1568185200000,0,111.0,11.0,1,0,0.11943534016609192,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.81251843699899,10.751814323459609]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000201,0,1568185200000,0,111.0,11.0,1,0,0.11238151788711548,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.8600374233143,10.863363841197357]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000205,0,1568185200000,0,111.0,11.0,1,0,0.10458049178123474,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.86991908117778,10.802914649215236]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000009a,0,1568185200000,0,101.0,1.0,1,1,0.8610524535179138,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.0702484336325,11.079224856639069]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000023,0,1568185200000,1,1111.0,11.0,1,1,0.8436049222946167,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.9441435653221,10.97306045333031]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000008f,0,1568185200000,1,1111.0,11.0,1,1,0.7534546852111816,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.94245203277977,10.95671902829466]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000090,0,1568185200000,1,1111.0,11.0,1,1,0.8618437647819519,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.90920224499675,10.936558394636377]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001e2,0,1568185200000,1,1111.0,11.0,1,1,0.8610637784004211,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.97204503598537,10.773858615802908]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000001e,0,1568185200000,0,111.0,11.0,1,1,0.22863681614398956,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.0491022701424,11.063404306949865]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000202,0,1568185200000,0,210.0,10.0,2,0,0.11737903952598572,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.87541289186238,10.84830422864152]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000001f,0,1568185200000,0,211.0,11.0,2,0,0.10843625664710999,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.04048783186138,11.081582699671522]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000025,0,1568185200000,0,211.0,11.0,2,0,0.1379462331533432,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.2768135529826,10.931557689831704]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000097,0,1568185200000,0,211.0,11.0,2,0,0.6770644783973694,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.99012240276805,11.123577953945967]}"
1_1_1_1_1_1_1_1_1_2_000000000000000000ab,0,1568185200000,0,211.0,11.0,2,0,0.11829990148544312,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.37831886502458,11.189061597314293]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001df,0,1568185200000,0,211.0,11.0,2,0,0.10923454910516739,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.87775039481485,10.851685640046629]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001e0,0,1568185200000,0,211.0,11.0,2,0,0.1120697632431984,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.820805085446,10.88006173083746]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001e3,0,1568185200000,0,211.0,11.0,2,0,0.1704842746257782,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.9320739397836,10.823091775261581]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001f8,0,1568185200000,0,211.0,11.0,2,0,0.10849203914403915,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.84796138043492,10.763330955892144]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001f9,0,1568185200000,0,211.0,11.0,2,0,0.1102982759475708,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.82021252502486,10.753996211697029]}"
1_1_1_1_1_1_1_1_1_2_000000000000000000a5,0,1568185200000,0,214.0,14.0,2,0,0.10653722286224365,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.1551275372992,11.174854700231922]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000093,0,1568185200000,0,211.0,11.0,2,1,0.7606102824211121,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.93329768270613,11.037053291998747]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000095,0,1568185200000,0,211.0,11.0,2,1,0.4536462724208832,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.03459949161929,10.982823376824566]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000009c,0,1568185200000,1,1201.0,1.0,2,1,0.8076428771018982,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.1978540709881,11.024031005097333]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001fe,0,1568185200000,1,1204.0,4.0,2,1,0.798967182636261,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.00765448632805,10.738294922324604]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000024,0,1568185200000,1,1211.0,11.0,2,1,0.8613764643669128,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.13495643491514,10.97031516193647]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000091,0,1568185200000,1,1211.0,11.0,2,1,0.8681036233901978,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.216165369764,10.959305530115548]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000092,0,1568185200000,1,1211.0,11.0,2,1,0.8703258633613586,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.86625439838372,11.006768809554064]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000096,0,1568185200000,1,1211.0,11.0,2,1,0.6535733938217163,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.9980644336772,11.025707192907776]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000099,0,1568185200000,1,1211.0,11.0,2,1,0.8551106452941895,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.08655143389925,11.094497632992882]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001e1,0,1568185200000,1,1211.0,11.0,2,1,0.8661901354789734,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.98036817579163,10.834681168003197]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001e4,0,1568185200000,1,1211.0,11.0,2,1,0.8565152883529663,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.92400094148665,10.655061374986941]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000022,0,1568185200000,0,311.0,11.0,3,0,0.1300082802772522,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.33223037476407,11.037363304708187]}"
1_1_1_1_1_1_1_1_1_2_000000000000000000aa,0,1568185200000,0,311.0,11.0,3,0,0.1064750924706459,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.40425072658107,11.203846335603332]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001fa,0,1568185200000,0,311.0,11.0,3,0,0.10986202955245972,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.88225584120838,10.746187491573652]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000204,0,1568185200000,0,311.0,11.0,3,0,0.11043711751699448,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.86978788226116,10.812324278209678]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000009d,0,1568185200000,1,1301.0,1.0,3,1,0.8708431124687195,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.20833813110512,11.057213143538798]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000021,0,1568185200000,1,1311.0,11.0,3,1,0.864183783531189,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.124892535989,10.947796585593583]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001fb,0,1568185200000,0,406.0,6.0,4,0,0.10694395005702972,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.86137679904411,10.605297341457494]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001fd,0,1568185200000,0,406.0,6.0,4,0,0.11425765603780746,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.87161955101412,10.603496943365636]}"
1_1_1_1_1_1_1_1_1_2_000000000000000001ff,0,1568185200000,0,410.0,10.0,4,0,0.11696411669254303,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.96391861389883,10.689780572870761]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000001b,0,1568185200000,0,411.0,11.0,4,0,0.1096586063504219,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.10522773026076,11.157197723722327]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000200,0,1568185200000,0,411.0,11.0,4,0,0.11370265483856201,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.96311078729526,10.688613235201988]}"
1_1_1_1_1_1_1_1_1_2_0000000000000000009b,0,1568185200000,1,1411.0,11.0,4,1,0.8743038773536682,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.1664423108644,10.995399238918706]}"
1_1_1_1_1_1_1_1_1_2_00000000000000000098,0,1568185200000,0,401.0,1.0,4,1,0.8135095834732056,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.06778194815736,11.065860823928999]}"
1_1_1_1_1_1_1_1_2_0000000000000000009e,0,1568185200000,0,110.0,10.0,1,0,0.10406043380498886,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.95166129607435,11.176807896440064]}"
1_1_1_1_1_1_1_1_2_000000000000000000b9,0,1568185200000,0,110.0,10.0,1,0,0.5147644281387329,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.39713871813767,11.692783238880972]}"
